Module_ID	Code	Name	Description	NZQALevel	NZQACredits	CoReq
13	INFO601	Data-modelling and SQL	To enable students to apply an indepth understanding of database modelling, database design and SQL concepts.	6	15	
14	COMP606	Web Programming	To enable students to gain the in depth knowledge and skills required to be able to write programs in web programming languages that solve various web programming tasks.	6	15	
15	COMP702	Scaling Networks	To enable students to gain an understanding of the architecture, components, and operations of routers and switches in larger and more complex networks.	7	15	
16	COMP714	Network Engineering Project	To enable students to develop a Computer networking solution from a set of requirements documents. This module is the Network Engineering Capstone Project.	7	30	
17	COMP704	Network Security	To enable students to gain core security knowledge and skills needed for installation, troubleshooting, and monitoring of networks to maintain the integrity, confidentiality, and availability of data and devices.	7	15	
18	COMP705	Connecting Networks	To enable students to gain an understanding of Wide Area Network (WAN) technologies and network services required by converged applications in a complex network.	7	15	
19	COMP706	Games Development	To enable students to understand supporting theories and principles of game design and apply these to the art and science of game design, development and programming.	7	15	
20	COMP707	Principles of Software Testing	Students will gain comprehensive knowledge of software testing methodologies and software testing tools used in industry and apply fundamental aspects of software testing incorporating system requirements, quality assurance, testing processes, automation, testing types and testing levels. This forms the third part of the Software Engineering Capstone Project.	7	15	
21	COMP715	Software Engineering Project	Students will gain advanced software development skills. They will be able to provide an in depth analysis of prototyping, performance, correctness, software reusability, scalability and quality and maintenance and appropriate documentation. This module is the Software Engineering capstone project.	7	30	
22	COMP709	Mobile Apps Development	To enable students to design, develop and implement mobile applications on a given platform.	7	15	
23	COMP710	Web Apps Development	To enable students to apply practical knowledge of Model View Controller (MVC) frameworks to plan, design and implement web applications. The core focus will be on architecture design and implementation of a web application that will meet a set of functional requirements and user interface requirements, and address business models.	7	15	
24	COMP713	Web Development Project	To enable students to further develop their knowledge of Web Applications by analysing, designing and implementing a web solution. This module is the Web Application Capstone Project.	7	15	
25	COMP609	Application Development	Students will gain in-depth programming and problem solving skills. They will be able to use a modern development environment and a programming language to implement a working solution. This includes rigorous programming and effective use of built-in data structures and other useful features of the development environment.	6	15	
26	INFO603	Systems Administration 	To enable students to gain the skills and knowledge required to effectively plan, install and administer a Microsoft Windows Server.	6	15	
27	INFO604	Database Systems	To enable students to understand and discuss database systems, concepts, modelling, design and administration, and to apply theoretical and practical administrative tasks in a database administrator's role.	6	15	INFO601
28	INFO701 = ITB7355	Project Management (Prince 2)	To enable students to understand and apply the theory of project management with particular emphasis on Information Technology projects.	7	15	
29	INFO702	Cyber-Security	To enable students to investigate computer system attacks and vulnerabilities in relation to operating systems (OS), applications, networking and websites, and investigate the security techniques for protecting a computer system from such attacks.	7	15	
30	INFO703	Big Data and Analytics	To enable students to gain the practical knowledge and skills required to store, manage and analyse large amounts of data, using appropriate algorithms.	7	15	
31	INFO704	Data-Warehousing and Business Intelligence	To enable students to examine the main components of data warehousing and apply it to business intelligence applications, enabling them to provide solutions which incorporate extracting data from different sources, storing data in a data warehouse and developing applications for business decision-making.	7	15	
32	INFO712	Datebase Architecture Project	To enable students to further develop their knowledge of Database Architecture by analysing, designing and implementing a database solution. This module is the Database Architecture Capstone Project.	7	30	
33	INFO706	Database Front-End Applications	To enable students to understand and apply various front end applications and their interfaces with supporting databases.	7	15	Comp709
34	INFO707	Cloud Server Databases	To enable students to gain an in-depth knowledge of cloud server database concepts, fundamentals and essentials. They will apply practical skills to install, setup, configure, manage and maintain a cloud server database and deploy cloud database services to support database applications.	7	15	
35	INFO708	Data Visualisation	To enable students to study and apply visual techniques that transform data into a format efficient for human perception, cognition, and communication, thus allowing for extraction of meaningful information and insight. Students will investigate data visualisation techniques, human visual systems and cognitive perception, and design, construct, and evaluate data visualisations.	7	15	
36	INFO709	Human Computer Interaction	To enable students to understand the supporting theories and principles of user interface design with respect to human computer interaction. They will investigate applications in human computer interaction and apply usability best practices and processes.	7	15	
37	MATH601	Mathematics for IT	To enable students to gain mathematical skills and acquire in-depth understanding of mathematics as applied to Information Technology.	6	15	
38	MATH602	Mathematics for programming	To enable students to obtain the mathematical skills to facilitate an in-depth understanding of advanced programming techniques. Students will be able to solve problems in recurrence functions, asymptotic functions, algorithmic puzzles, combinatorics and graph theory and advanced topics in probability and statistics.	6	15	
39	BIZM701	Business Essentials for IT Professionals	To enable students to develop an understanding of the common principles of business practice whilst focussing on the theoretical and practical concepts of accounting, marketing and management in order to understand the business context within which Information Technology solutions are developed.	7	15	
40	COMP605	Data Structures and Algorithms	To enable students to apply programming and analytical skills to implement and analyze common data structures for computer programs. Students will cover a wide range of computer programming algorithms.	6	15	
41	COMP607	Visual Effects and Animation	To enable students to develop the knowledge and skills required to design and develop effective graphics and animation, and to apply various visual effects for static graphics as well as create 3D models and produce 2D and 3D animation.	6	15	
42	COMP701	Advanced Networking	To enable students to investigate and configure advanced system administration tools, advanced network virtualisation and wireless networking technologies. Students will also research emerging networking technologies.	7	15	
43	COMP615	Data Centre Infrastructure	To enable students to apply a broad operational knowledge of data centres and associated technologies to meet typical organisational requirements.	6	15	
